Shunt field current (A),Internal generated voltage E_A (V)
0.00,3.000
0.10,12.565
0.20,22.161
0.30,31.786
0.40,41.442
0.50,51.128
0.60,60.843
0.70,70.588
0.80,80.363
0.90,90.167
1.00,100.000
1.10,109.877
1.20,119.805
1.30,129.776
1.40,139.781
1.50,149.810
1.60,159.854
1.70,169.904
1.80,179.951
1.90,189.986
2.00,200.000
2.10,210.159
2.20,220.565
2.30,231.112
2.40,241.694
2.50,252.206
2.60,262.541
2.70,272.594
2.80,282.259
2.90,291.429
3.00,300.000
3.10,308.054
3.20,315.771
3.30,323.190
3.40,330.348
3.50,337.286
3.60,344.040
3.70,350.650
3.80,357.155
3.90,363.592
4.00,370.000
4.10,376.469
4.20,382.919
4.30,389.134
4.40,394.900
4.50,400.000
4.60,404.205
4.70,407.995
4.75,410.000
4.80,412.194
4.90,416.984
5.00,421.887
5.10,426.395
5.20,430.000
5.30,432.853
5.40,435.460
5.50,437.851
5.60,440.052
5.70,442.091
5.80,443.996
5.90,445.793
6.00,447.512
6.10,449.178
6.15,450.000
6.20,450.806
6.30,452.336
6.40,453.773
6.50,455.137
6.60,456.445
6.70,457.717
6.80,458.971
6.90,460.226
7.00,461.500
7.10,462.814
7.20,464.161
7.30,465.523
7.40,466.879
7.50,468.210
7.60,469.497
7.70,470.718
7.80,471.856
7.90,472.890
8.00,473.800
8.10,474.616
8.20,475.383
8.30,476.105
8.40,476.785
8.50,477.428
8.60,478.036
8.70,478.613
8.80,479.164
8.90,479.692
9.00,480.200
9.10,480.693
9.20,481.172
9.30,481.634
9.40,482.080
9.50,482.506
9.60,482.912
9.70,483.296
9.80,483.656
9.90,483.991
10.00,484.300
